final_cluster_id,week,complaint_count
258,2015-04-06,3
258,2015-04-13,3
258,2015-05-04,1
258,2015-05-11,1
258,2015-05-18,2
258,2015-05-25,3
258,2015-06-01,1
258,2015-06-29,2
258,2015-07-13,2
258,2015-07-20,1
258,2015-08-17,2
258,2015-08-24,1
258,2015-08-31,1
258,2015-09-07,3
258,2015-09-14,1
258,2015-09-21,2
258,2015-10-12,2
258,2015-10-19,2
258,2015-10-26,1
258,2015-11-16,1
258,2015-11-30,2
258,2015-12-07,1
258,2015-12-14,1
258,2015-12-21,1
258,2016-01-04,2
258,2016-01-18,1
258,2016-01-25,1
258,2016-02-01,1
258,2016-02-08,1
258,2016-02-15,1
258,2016-02-22,1
258,2016-03-14,1
258,2016-04-04,1
258,2016-04-11,1
258,2016-04-18,1
258,2016-04-25,2
258,2016-05-02,1
258,2016-05-09,1
258,2016-05-16,1
258,2016-05-23,1
258,2016-06-20,1
258,2016-07-04,3
258,2016-07-18,1
258,2016-07-25,3
258,2016-08-01,1
258,2016-08-15,1
258,2016-09-05,1
258,2016-09-19,1
258,2016-09-26,1
258,2016-10-31,1
258,2016-11-07,2
258,2016-11-14,2
258,2016-11-28,1
258,2016-12-05,1
258,2016-12-12,1
258,2016-12-19,1
258,2017-01-02,1
258,2017-01-09,1
258,2017-01-16,2
258,2017-01-30,1
258,2017-02-06,1
258,2017-02-20,1
258,2017-02-27,1
258,2017-03-20,1
258,2017-03-27,4
258,2017-04-03,2
258,2017-04-10,1
258,2017-04-17,2
258,2017-05-08,1
258.0,2015-03-30,2
258.0,2015-04-13,1
258.0,2015-04-20,1
258.0,2015-06-29,1
258.0,2015-07-06,1
258.0,2015-07-13,1
258.0,2015-08-17,2
258.0,2015-09-14,1
258.0,2015-11-16,1
258.0,2015-12-07,1
258.0,2016-03-07,1
258.0,2016-04-04,2
258.0,2016-04-18,1
258.0,2016-05-09,1
258.0,2016-05-23,1
258.0,2016-05-30,2
258.0,2016-06-06,1
258.0,2016-06-13,1
258.0,2016-08-29,1
258.0,2016-09-05,1
258.0,2016-09-12,1
258.0,2017-01-02,1
258.0,2017-03-20,1
258.0,2017-04-10,1
258.0,2017-04-17,1
258.0,2017-05-22,2
258.0,2017-05-29,1
258.0,2017-06-05,1
258.0,2017-06-26,2
258.0,2017-07-10,1
258.0,2017-07-17,2
258.0,2017-07-24,2
258.0,2017-08-07,1
258.0,2017-09-18,2
259,2015-03-30,3
259,2015-04-06,1
259,2015-04-27,1
259,2015-05-04,1
259,2015-07-13,1
259,2015-08-17,1
259,2015-09-14,1
259,2015-09-21,1
259,2015-09-28,1
259,2015-10-26,1
259,2015-12-07,1
259,2016-01-04,1
259,2016-01-11,1
259,2016-01-18,1
259,2016-01-25,1
259,2016-02-01,2
259,2016-02-08,1
259,2016-02-22,1
259,2016-03-21,1
259,2016-04-11,2
259,2016-05-23,1
259,2016-05-30,1
259,2016-06-06,1
259,2016-07-04,2
259,2016-07-18,1
259,2016-08-01,1
259,2016-08-22,1
259,2016-09-05,1
259,2016-09-19,1
259,2016-10-10,1
259,2016-11-07,1
259,2017-01-09,1
259,2017-01-23,1
259,2017-02-13,1
259,2017-02-20,2
259,2017-03-06,1
259,2017-03-20,1
259,2017-05-01,3
259,2017-05-29,1
259.0,2015-03-30,1
259.0,2015-10-05,1
259.0,2016-02-08,1
259.0,2016-08-01,1
259.0,2016-10-10,1
259.0,2016-12-12,2
259.0,2017-01-23,1
259.0,2017-05-22,2
259.0,2017-06-12,1
259.0,2017-07-10,2
259.0,2017-07-17,1
259.0,2017-07-24,1
259.0,2017-08-07,1
259.0,2017-09-18,1
26,2015-04-06,2
26,2015-04-13,2
26,2015-04-20,1
26,2015-04-27,1
26,2015-05-11,1
26,2015-06-01,3
26,2015-06-08,1
26,2015-06-15,1
26,2015-06-22,2
26,2015-07-13,1
26,2015-07-27,1
26,2015-08-03,1
26,2015-08-10,1
26,2015-08-31,1
26,2015-10-19,1
26,2015-11-02,1
26,2015-11-09,1
26,2015-12-14,1
26,2015-12-28,1
26,2016-05-02,1
26,2016-05-23,2
26,2016-07-11,1
26,2016-09-12,1
26,2016-10-24,1
26,2016-11-28,2
26,2017-02-06,1
26,2017-02-13,1
26,2017-02-27,1
26,2017-04-03,1
26,2017-04-10,1
26,2017-05-01,1
26.0,2015-05-11,1
26.0,2015-07-06,1
26.0,2015-07-27,1
26.0,2015-08-03,1
26.0,2015-08-10,1
26.0,2015-08-24,1
26.0,2015-09-14,2
26.0,2015-11-09,1
26.0,2015-11-16,1
26.0,2016-01-25,1
26.0,2016-02-01,1
26.0,2016-02-22,1
26.0,2016-05-30,1
26.0,2016-06-27,1
26.0,2016-10-03,1
26.0,2016-10-10,1
26.0,2016-10-17,1
26.0,2017-01-09,1
26.0,2017-01-16,1
26.0,2017-02-20,1
26.0,2017-06-19,2
26.0,2017-06-26,1
26.0,2017-07-03,1
26.0,2017-07-10,1
26.0,2017-07-17,1
26.0,2017-08-21,1
260,2015-03-16,1
260,2015-03-23,1
260,2015-03-30,1
260,2015-04-06,6
260,2015-04-13,2
260,2015-04-20,1
260,2015-04-27,5
260,2015-05-04,2
260,2015-05-18,2
260,2015-05-25,1
260,2015-06-01,3
260,2015-06-08,3
260,2015-06-22,2
260,2015-06-29,3
260,2015-07-06,2
260,2015-07-13,4
260,2015-07-20,4
260,2015-07-27,3
260,2015-08-03,1
260,2015-08-10,2
260,2015-08-17,4
260,2015-08-24,3
260,2015-08-31,3
260,2015-09-14,2
260,2015-09-28,1
260,2015-10-05,1
260,2015-10-12,2
260,2015-10-19,1
260,2015-11-02,4
260,2015-11-09,3
260,2015-11-16,2
260,2015-11-23,1
260,2015-12-07,4
260,2015-12-14,1
260,2015-12-21,1
260,2015-12-28,3
260,2016-01-04,1
260,2016-01-11,1
260,2016-01-25,2
260,2016-02-01,1
260,2016-02-08,1
260,2016-02-15,3
260,2016-02-29,1
260,2016-03-07,4
260,2016-03-14,1
260,2016-03-21,2
260,2016-04-04,3
260,2016-04-11,1
260,2016-04-18,2
260,2016-05-02,2
260,2016-05-09,4
260,2016-05-16,1
260,2016-06-06,1
260,2016-06-20,3
260,2016-07-11,3
260,2016-07-18,2
260,2016-08-01,2
260,2016-08-15,2
260,2016-08-29,1
260,2016-09-12,3
260,2016-10-10,2
260,2016-10-17,1
260,2016-10-24,1
260,2016-10-31,1
260,2016-11-21,2
260,2016-12-26,2
260,2017-01-02,3
260,2017-01-09,1
260,2017-01-16,3
260,2017-01-23,2
260,2017-01-30,1
260,2017-02-06,1
260,2017-02-13,1
260,2017-02-20,2
260,2017-02-27,2
260,2017-03-06,2
260,2017-03-13,1
260,2017-03-20,1
260,2017-03-27,2
260,2017-04-10,3
260,2017-04-17,3
260,2017-04-24,2
260,2017-05-01,2
260,2017-05-08,2
260,2017-05-15,1
260,2017-06-12,1
260.0,2015-03-16,1
260.0,2015-03-30,1
260.0,2015-04-06,1
260.0,2015-05-04,1
260.0,2015-05-25,2
260.0,2015-06-01,1
260.0,2015-06-08,1
260.0,2015-06-15,1
260.0,2015-07-27,3
260.0,2015-08-17,1
260.0,2015-09-07,1
260.0,2015-09-14,1
260.0,2015-09-28,1
260.0,2015-10-05,1
260.0,2015-10-19,1
260.0,2015-10-26,1
260.0,2015-11-09,1
260.0,2015-11-16,1
260.0,2015-12-14,1
260.0,2016-01-18,1
260.0,2016-02-01,1
260.0,2016-04-11,2
260.0,2016-04-25,1
260.0,2016-06-20,1
260.0,2016-07-04,1
260.0,2016-08-01,1
260.0,2016-09-12,1
260.0,2016-12-05,3
260.0,2016-12-19,2
260.0,2017-01-02,2
260.0,2017-01-09,1
260.0,2017-01-23,1
260.0,2017-03-06,1
260.0,2017-05-29,2
260.0,2017-06-12,1
260.0,2017-06-19,3
260.0,2017-06-26,1
260.0,2017-07-03,1
260.0,2017-07-10,3
260.0,2017-08-07,1
260.0,2017-08-14,1
260.0,2017-08-28,1
261,2015-03-16,1
261,2015-03-23,1
261,2015-05-04,1
261,2015-05-11,1
261,2015-06-01,4
261,2015-06-08,2
261,2015-06-15,1
261,2015-06-29,1
261,2015-07-06,1
261,2015-07-13,2
261,2015-07-20,1
261,2015-08-03,1
261,2015-08-10,4
261,2015-08-24,1
261,2015-09-28,1
261,2015-10-12,1
261,2015-12-07,1
261,2015-12-21,2
261,2016-01-18,1
261,2016-01-25,1
261,2016-02-01,2
261,2016-04-04,1
261,2016-05-16,1
261,2016-06-27,1
261,2016-08-01,1
261,2016-08-08,1
261,2016-09-05,1
261,2016-10-17,1
261,2016-12-05,1
261,2016-12-12,1
261,2017-02-20,1
261,2017-02-27,1
261,2017-03-06,1
261,2017-04-03,1
261,2017-04-24,1
261,2017-05-01,1
261.0,2016-07-25,1
261.0,2016-09-12,1
261.0,2016-12-26,1
261.0,2017-01-09,1
261.0,2017-05-15,1
261.0,2017-05-29,1
261.0,2017-06-26,1
261.0,2017-07-10,2
261.0,2017-07-24,1
261.0,2017-07-31,1
261.0,2017-09-04,1
261.0,2017-09-11,11
261.0,2017-09-18,4
261.0,2017-09-25,1
262,2015-03-30,1
262,2015-06-08,1
262,2015-06-15,1
262,2015-09-28,1
262,2015-11-30,1
262,2015-12-07,1
262,2015-12-28,1
262,2016-03-28,2
262,2016-04-04,1
262,2016-05-02,2
262,2016-06-06,1
262,2016-06-27,1
262,2016-07-11,2
262,2016-07-25,1
262,2016-08-01,1
262,2016-08-15,1
262,2016-09-19,1
262,2016-10-03,1
262,2016-10-24,1
262,2017-01-02,1
262,2017-01-09,1
262,2017-01-30,1
262,2017-02-13,1
262,2017-03-20,1
262,2017-03-27,1
262,2017-04-24,1
262,2017-05-08,1
262.0,2015-04-27,1
262.0,2015-05-25,1
262.0,2015-08-03,1
262.0,2016-04-25,1
262.0,2016-05-09,1
262.0,2016-09-19,2
262.0,2016-12-12,1
262.0,2017-05-15,1
262.0,2017-05-29,1
262.0,2017-06-19,1
262.0,2017-07-24,1
262.0,2017-08-07,1
262.0,2017-08-14,1
263,2015-03-16,1
263,2015-03-30,1
263,2015-04-20,1
263,2015-05-11,2
263,2015-05-18,1
263,2015-06-29,1
263,2015-07-13,2
263,2015-07-20,1
263,2015-07-27,1
263,2015-08-03,2
263,2015-09-21,1
263,2015-10-05,2
263,2015-10-26,2
263,2015-12-07,1
263,2015-12-14,2
263,2015-12-21,1
263,2016-02-01,1
